path,expected_bytes,actual_bytes,expected_sha256,actual_sha256,matches
00_README/CODEX_GOAL.md,2191,2191,7563edcf641fbdb27f34ec699b78063fd8dbfea75a3208ccfdedbb8ae1c1a04e,7563edcf641fbdb27f34ec699b78063fd8dbfea75a3208ccfdedbb8ae1c1a04e,True
00_README/FINAL_OUTCOME.md,312,312,fc2111f0adf77707abf84ded0db5fd8b4b724eb557235660e4ba2979579b423e,fc2111f0adf77707abf84ded0db5fd8b4b724eb557235660e4ba2979579b423e,True
00_README/FINAL_REVIEW_PACKAGE_SPEC.md,1480,1480,d246c6e83e8d07cddf83669c26031e55957ffc57bb869a38c7ea44175a941a6d,d246c6e83e8d07cddf83669c26031e55957ffc57bb869a38c7ea44175a941a6d,True
00_README/README_FIRST.md,1742,1742,558deb3c05e5cf5fa092067299cb756e94a7108f4a16f5a5e51713dfe06a078b,558deb3c05e5cf5fa092067299cb756e94a7108f4a16f5a5e51713dfe06a078b,True
01_SCIENCE/HYPOTHESES.md,999,999,ccd8c731178f5e19f0d43ae25964e4197e0484f9e0cb49e0e273ef85520faed1,ccd8c731178f5e19f0d43ae25964e4197e0484f9e0cb49e0e273ef85520faed1,True
01_SCIENCE/IMPOSSIBILITY_BOUNDARY.md,935,935,07c7ac5693c57ac7e1a71d13c31441da936e43766e075a71ab0ba7e899c82bff,07c7ac5693c57ac7e1a71d13c31441da936e43766e075a71ab0ba7e899c82bff,True
01_SCIENCE/LOCKED_QUESTION.md,763,763,429912214dc55a54bc39798fabeffd5a79a7772522396a2f4f3ad1e52b6598b2,429912214dc55a54bc39798fabeffd5a79a7772522396a2f4f3ad1e52b6598b2,True
01_SCIENCE/PHASE_I_CORRECTION/PHASE_I_CORRECTION.md,1965,1965,db551f66e22c6d981c2fdf41bbd2123d4159b6965a400ae6a06a96dad4972515,db551f66e22c6d981c2fdf41bbd2123d4159b6965a400ae6a06a96dad4972515,True
02_LITERATURE/CORE_LITERATURE_REGISTRY.csv,35396,35396,74803a314476faf930b94f54ed1ca25e85bf9c04df14b994f172966d62d6f071,74803a314476faf930b94f54ed1ca25e85bf9c04df14b994f172966d62d6f071,True
02_LITERATURE/LITERATURE_REVIEW.md,1254,1254,72830c0b15b8b04bd94991d9bfc2570b054589088fa1c243463127d9d5f792c7,72830c0b15b8b04bd94991d9bfc2570b054589088fa1c243463127d9d5f792c7,True
02_LITERATURE/NOVELTY_MATRIX.csv,1015,1015,a411fb02402736c28b1a7b84f4de818c9cd87e8bbfdad2bd7247102a5f2a0128,a411fb02402736c28b1a7b84f4de818c9cd87e8bbfdad2bd7247102a5f2a0128,True
02_LITERATURE/SEARCH_LOG.csv,643,643,4dbd32d6a8472ee166e03b4cf1a4a21d6cda07876a6f6af8cc693d5465c5964d,4dbd32d6a8472ee166e03b4cf1a4a21d6cda07876a6f6af8cc693d5465c5964d,True
03_MODEL/CONTRACT_SEMANTICS.md,418,418,eb1e8ffbcb5a918a53b27392a3deeb0d074088a1b8574285c9afa98f585a2825,eb1e8ffbcb5a918a53b27392a3deeb0d074088a1b8574285c9afa98f585a2825,True
03_MODEL/DELIVERABILITY_FEASIBLE_SET.md,597,597,6a6c572417eb503dc0085cbd239fb7e6116b32190c63176d17a98cab4e003c25,6a6c572417eb503dc0085cbd239fb7e6116b32190c63176d17a98cab4e003c25,True
03_MODEL/ESTIMATION/R2_REPAIR_LEDGER.md,1080,1080,0e051707f636c3643896082fc8174145562da78e82a43563d497e0e7e5ee32b8,0e051707f636c3643896082fc8174145562da78e82a43563d497e0e7e5ee32b8,True
03_MODEL/LOAD_OBSERVER.md,510,510,b8f67de5bd3a96da9f8fc1a34a74c4fe09e02c59aa078586b9bdc4b8a507fadd,b8f67de5bd3a96da9f8fc1a34a74c4fe09e02c59aa078586b9bdc4b8a507fadd,True
04_METHOD/BASELINES.md,513,513,023fab932bfadfabe44c66a78ffd1123b141c05d448b17f50a7020ca7174b615,023fab932bfadfabe44c66a78ffd1123b141c05d448b17f50a7020ca7174b615,True
04_METHOD/DCSV_CR_MPC_FORMULATION.md,873,873,058529210921e8ffe92162bd6bc20a51d4bcac2a097bfd28022db7f3d7c7ff7c,058529210921e8ffe92162bd6bc20a51d4bcac2a097bfd28022db7f3d7c7ff7c,True
04_METHOD/EQUATION_CODE_MAP.csv,464,464,8a0b05d7ea68d7ae880d95e5d27f00e3e6aecef45697a3fb4d980cabc6cb1052,8a0b05d7ea68d7ae880d95e5d27f00e3e6aecef45697a3fb4d980cabc6cb1052,True
04_METHOD/PSEUDOCODE.md,627,627,b1c638d4b241f42bb82cae19078f91d94343c0d6cfb077f24c43b2e4a0497c72,b1c638d4b241f42bb82cae19078f91d94343c0d6cfb077f24c43b2e4a0497c72,True
05_THEORY/ASSUMPTIONS.md,665,665,b6c3e81fe6d60985238c053612c1f8e98fe84f10a8511ffff9ebb3ebba8585c6,b6c3e81fe6d60985238c053612c1f8e98fe84f10a8511ffff9ebb3ebba8585c6,True
05_THEORY/BRIDGE_CERTIFICATES.parquet,8753,8753,c0e88d03dd08a8540fe1e77cdd2472f4e0c759cfdb9f002cbf81a792521b6560,c0e88d03dd08a8540fe1e77cdd2472f4e0c759cfdb9f002cbf81a792521b6560,True
05_THEORY/CLAIM_BOUNDARY.md,538,538,17f25e2682edc64f49587b8a378fe8b95e07d19b9fd80732ff23e5990a583c2f,17f25e2682edc64f49587b8a378fe8b95e07d19b9fd80732ff23e5990a583c2f,True
05_THEORY/CONTRACT_BRANCH_CERTIFICATE.json,2770,2770,fcdbf0a49ba78506f85b3675ceae6f81ad548f2f3d8e80ba87e38f412036b8b2,fcdbf0a49ba78506f85b3675ceae6f81ad548f2f3d8e80ba87e38f412036b8b2,True
05_THEORY/INFEASIBILITY_CERTIFICATES.parquet,5630,5630,f7d5b8a3e65c04d62efab87b0dea6d569b8f8a99dd879dde57b97e4bd35f5451,f7d5b8a3e65c04d62efab87b0dea6d569b8f8a99dd879dde57b97e4bd35f5451,True
05_THEORY/RECOURSE_CERTIFICATE.json,2167,2167,f318835574bdaacf06eaa74be7e46362f269dfbed8848a749350718605ff5eaf,f318835574bdaacf06eaa74be7e46362f269dfbed8848a749350718605ff5eaf,True
05_THEORY/REPRODUCE_CERTIFICATES.py,1224,1224,1d13506b901e9ea2aa0f56c95bbf3b0e16e47af97c79b413274640f9c7a734ee,1d13506b901e9ea2aa0f56c95bbf3b0e16e47af97c79b413274640f9c7a734ee,True
05_THEORY/SUSTAINABLE_TERMINAL_SET.npz,5221,5221,ca44470e8b508e3e8ddfd3e761cf689ab898eae757d766684a4bed32a4171c49,ca44470e8b508e3e8ddfd3e761cf689ab898eae757d766684a4bed32a4171c49,True
05_THEORY/THEOREMS_AND_PROOFS.md,2068,2068,9e00b91d4ea2e997caf9611eb1f97f22516b6360479af9e70ecb6b968e0e8ca0,9e00b91d4ea2e997caf9611eb1f97f22516b6360479af9e70ecb6b968e0e8ca0,True
06_SOURCE/repository/AGENTS.md,21898,21898,66042b00bf6b443a15dcee2299eea0cc70fac0bea650f5983e9ba6c3ef677f06,66042b00bf6b443a15dcee2299eea0cc70fac0bea650f5983e9ba6c3ef677f06,True
06_SOURCE/repository/configs/direction5_final/r5_validation_lock.yaml,1397,1397,d1a9fdd49350053e16dfe5890c1c11836dc98c2620f124e0ed63f7a705428fa2,d1a9fdd49350053e16dfe5890c1c11836dc98c2620f124e0ed63f7a705428fa2,True
06_SOURCE/repository/environment.yml,737,737,acdf1eb91c8a038a02b50e46681a1921449d5fa0ee8cb1f83544435005d6c61e,acdf1eb91c8a038a02b50e46681a1921449d5fa0ee8cb1f83544435005d6c61e,True
06_SOURCE/repository/pyproject.toml,994,994,4070e7d051c70cd6297465d3b4d14e5f7fbf9529c537795f7ca792f97f031bf0,4070e7d051c70cd6297465d3b4d14e5f7fbf9529c537795f7ca792f97f031bf0,True
06_SOURCE/repository/README.md,2366,2366,df2a013f78410679f59eb14ffb93c6bafe2951d3b2b04dc0b364aa24710eec02,df2a013f78410679f59eb14ffb93c6bafe2951d3b2b04dc0b364aa24710eec02,True
06_SOURCE/repository/scripts/direction5_final/__init__.py,59,59,4fdd74c85dd3610f6d4a6de5e9cc9fd5f9c6b781d1d4a77875076321c36e75d4,4fdd74c85dd3610f6d4a6de5e9cc9fd5f9c6b781d1d4a77875076321c36e75d4,True
06_SOURCE/repository/scripts/direction5_final/build_r8_review_package.py,18960,18960,f516699d4d266b8dffc226bed8a153e4226ff58d5009e8a55efb4a8ff4b071f0,f516699d4d266b8dffc226bed8a153e4226ff58d5009e8a55efb4a8ff4b071f0,True
06_SOURCE/repository/scripts/direction5_final/package_reproduce_minimal.py,2967,2967,70764a8602dc4fda23064afc241c0d5ca92f779cba7847ccb66bcfa938e86bde,70764a8602dc4fda23064afc241c0d5ca92f779cba7847ccb66bcfa938e86bde,True
06_SOURCE/repository/scripts/direction5_final/package_verify_manifest.py,2119,2119,6b95ad3a576230d1a5a9e8c7e0ecec1911d2cb4f27a04846eed12a6ea990301f,6b95ad3a576230d1a5a9e8c7e0ecec1911d2cb4f27a04846eed12a6ea990301f,True
06_SOURCE/repository/scripts/direction5_final/run_r0_correction.py,8416,8416,f8b7cddfd3a7bf7cd462ebbf1d0d81f0a4e8da5393a39f6511b9c1fde04e482d,f8b7cddfd3a7bf7cd462ebbf1d0d81f0a4e8da5393a39f6511b9c1fde04e482d,True
