point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,nominal_frequency_hz
B3F_0000,4.0,low,0.01687304322445774,0.017232915446474713,0.011748764028712218,0.07966283275919808,0.0010625466101259933,0.5027163253664105,0.014249151486406653,balanced,50.0
B3F_0001,4.0,low,0.03903502721597761,0.03148058245986437,0.01614696320009846,0.31211033183449943,0.001928795297692317,0.5616909898881046,0.02109843207599112,regional_responsibility,50.0
B3F_0002,2.0,medium,0.06434989297970345,0.02682043015077505,0.03431716129814444,0.33429225775690813,0.0017217791641806208,0.3612455612168854,0.030945091634733326,resource_economy,50.0
B3F_0003,4.0,medium,0.04935703906637557,0.027823788306693353,0.027930771639917796,0.2558424643079133,0.0008745504600039231,0.4978310098475469,0.018772239873647806,balanced,50.0
B3F_0004,4.0,high,0.07399876202887107,0.01846312108365696,0.026015326018155174,0.12108251723037845,0.0018506441259186633,0.6001346428519964,0.025513200671485298,regional_responsibility,50.0
B3F_0005,4.0,high,0.01786375546121726,0.01444516045324011,0.009816890862614759,0.9749731729567631,0.0014627072625020803,0.5686854150551561,0.013979994865090327,resource_economy,50.0
B3F_0006,2.0,medium,0.06138756938187923,0.024072366438347557,0.01944555419669911,0.568528623770945,0.0015567991406583118,0.6916063856844541,0.017689421575985333,balanced,50.0
B3F_0007,2.0,high,0.057773431319437095,0.02181145697970885,0.010071253167347227,0.7099437938184548,0.0017113509631267484,0.3986950735333773,0.03839791581183901,regional_responsibility,50.0
B3F_0008,2.0,low,0.04360261925200721,0.0057028545874908505,0.029280674340056344,0.17463829267720374,0.0012758634270876325,0.32824614365943283,0.0351345231964633,resource_economy,50.0
B3F_0009,2.0,medium,0.07111255899463445,0.02464470600647297,0.03327199401620935,0.007253216516598923,0.0009863801106191515,0.5907923033732734,0.028494201438818013,balanced,50.0
B3F_0010,4.0,high,0.04072221563696121,0.0022300692104637904,0.012552881166574955,0.37278288832021717,0.0008826500879089356,0.45429503780700575,0.0149825376721171,regional_responsibility,50.0
B3F_0011,2.0,high,0.016017003870545225,0.014773055003385018,0.006195367607084495,0.7624258619684552,0.0005512559825138891,0.6295924575805703,0.009168964607495915,resource_economy,50.0
