repository_path,bytes,sha256
AGENTS.md,21898,66042b00bf6b443a15dcee2299eea0cc70fac0bea650f5983e9ba6c3ef677f06
README.md,2366,df2a013f78410679f59eb14ffb93c6bafe2951d3b2b04dc0b364aa24710eec02
configs/direction5_closure/confirmatory_protocol.yaml,1523,2fe96fc358fd45902bb4f1b5d387b838c4f80e2d6b657cb12df67c48e5e2c30b
configs/direction5_final/r5_validation_lock.yaml,1397,d1a9fdd49350053e16dfe5890c1c11836dc98c2620f124e0ed63f7a705428fa2
environment.yml,737,acdf1eb91c8a038a02b50e46681a1921449d5fa0ee8cb1f83544435005d6c61e
figures_closure/C4/fig01_information_value.pdf,22753,418bc88ba7233af6cf4b8330dd29f072ee0584196f6419e05343806b4ffa9800
figures_closure/C4/fig01_information_value.png,141189,4ad0e7869835599b0556bf781f0e6917cc22c12af37a2f397c234112482db15c
figures_closure/C4/fig01_information_value.svg,45790,b6842e6c6a5096b7cf4010145f00aada00c32eded57f0c84b3df3ede78261f54
figures_closure/C4/fig02_perfect_online_gap.pdf,23538,85c71c3de4a96f5285da535d206e4b70ef3165080cc8087ef73d932fbc92ed72
figures_closure/C4/fig02_perfect_online_gap.png,149498,080eed4b100ec80d990e9f0e7c4a8be4257d6b653326e4f05d88e9873bece859
figures_closure/C4/fig02_perfect_online_gap.svg,45469,93afc065a87a68773e46370833026a0cfadeddd223210f46595446a783fc5a0b
figures_closure/C4/fig03_estimator_excitation.pdf,23573,79cc3b573819404bb60db21ee6518658a03b149c1ba843589995cc40315222fa
figures_closure/C4/fig03_estimator_excitation.png,149315,d36849de7122f607726a8828d6e5b8da7a0cb978540b841f89daf755b24a5697
figures_closure/C4/fig03_estimator_excitation.svg,44375,2d5e84ab7e59cb459c4b84120e4bd8592f3a2244e5f42a6c7830f66866590434
figures_closure/C4/fig04_surplus_activation.pdf,20634,e6ceee8b53b03744fb3a28b078e71c0644db89a294e7c7cf4938d534acda9e8c
figures_closure/C4/fig04_surplus_activation.png,117948,4bde14390d6a495c839e34e46f538572177f80f026e0a674bec4ca1b4b5b816f
figures_closure/C4/fig04_surplus_activation.svg,35374,bbd15c7f66a39323ac5fbbac5dbab23d566551efe74ea8c4ecb36fa400f8b107
figures_closure/C4/fig05_fallback_root_cause.pdf,20051,ed21d6a1bba3fbefe13a87c705138d0afa705bd8f09e2ffedc7a6a463c17888a
figures_closure/C4/fig05_fallback_root_cause.png,114795,b5776a9e0a5b6bc9d38932a8d8ff9121b61bb1f62f8072b215c029c8820f122c
figures_closure/C4/fig05_fallback_root_cause.svg,38200,e3db91381275b8baf6e40abefb4f3660c5285b3bfd80ee2f4c6cb2bcc15d9c3a
figures_closure/C4/fig06_binding_constraints.pdf,24787,a76c4c667b8f1b0262775b78d2f25346a1a9432d1cd805b4df94524ca1fa027d
figures_closure/C4/fig06_binding_constraints.png,224940,5cf8210d93a321adebeab6626f602dcb4e451180c253c07cc095d7625b52972a
figures_closure/C4/fig06_binding_constraints.svg,54455,fcd2e4fbe47c86a7878faef89062df5f3ffe71ebd9fa2aa39744a44d4018c5a9
